TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 832   0.500000   0.275000          0.0376    0.038523
 873   0.525000   0.275000          0.0373    0.038404
 914   0.550000   0.275000          0.0371    0.038048
 955   0.575000   0.275000          0.0364    0.037458
 996   0.600000   0.275000          0.0357    0.036637
 1037   0.625000   0.275000          0.0345    0.035590
 1078   0.650000   0.275000          0.0334    0.034324
 1119   0.675000   0.275000          0.0318    0.032846
 1160   0.700000   0.275000          0.0303    0.031165
 1201   0.725000   0.275000          0.0282    0.029293
 1242   0.750000   0.275000          0.0265    0.027240
 1283   0.775000   0.275000          0.0239    0.025018
 1324   0.800000   0.275000          0.0219    0.022643
 1365   0.825000   0.275000          0.0190    0.020128
 1406   0.850000   0.275000          0.0169    0.017489
 1447   0.875000   0.275000          0.0136    0.014742
 1488   0.900000   0.275000          0.0114    0.011904
 1529   0.925000   0.275000          0.0077    0.008993
 1570   0.950000   0.275000          0.0057    0.006026
 1611   0.975000   0.275000          0.0016    0.003022
 1652   1.000000   0.275000          0.0000    0.000000
 13   0.000000   0.300000          0.0000    0.000000
 54   0.025000   0.300000          0.0017    0.003216
 95   0.050000   0.300000          0.0061    0.006412
 136   0.075000   0.300000          0.0083    0.009568
 177   0.100000   0.300000          0.0123    0.012665
 218   0.125000   0.300000          0.0146    0.015684
 259   0.150000   0.300000          0.0181    0.018607
 300   0.175000   0.300000          0.0204    0.021415
 341   0.200000   0.300000          0.0236    0.024091
 382   0.225000   0.300000          0.0257    0.026618
 423   0.250000   0.300000          0.0284    0.028981
 464   0.275000   0.300000          0.0303    0.031165
 505   0.300000   0.300000          0.0326    0.033158
 546   0.325000   0.300000          0.0341    0.034946
 587   0.350000   0.300000          0.0359    0.036518
 628   0.375000   0.300000          0.0371    0.037865
 669   0.400000   0.300000          0.0384    0.038979
 710   0.425000   0.300000          0.0391    0.039853
 751   0.450000   0.300000          0.0399    0.040481
 792   0.475000   0.300000          0.0401    0.040859
 833   0.500000   0.300000          0.0404    0.040985
 874   0.525000   0.300000          0.0401    0.040859
 915   0.550000   0.300000          0.0399    0.040481
 956   0.575000   0.300000          0.0391    0.039853
 997   0.600000   0.300000          0.0384    0.038979
 1038   0.625000   0.300000          0.0371    0.037865
